n,m,tiempo
3819,38190,43
9076,90760,117
8767,87670,117
5048,50480,65
4033,40330,50
4359,43590,54
1728,17280,20
2606,26060,30
6583,65830,84
3630,36300,41
2026,20260,23
5687,56870,73
4766,47660,58
4649,46490,56
155,1550,1
9937,99370,125
7725,77250,98
2820,28200,32
7351,73510,92
8442,84420,103
4785,47850,57
4350,43500,54
4269,42690,51
6427,64270,80
872,8720,9
6867,68670,86
1362,13620,15
9034,90340,116
5509,55090,68
8032,80320,100
6742,67420,81
4984,49840,59
9799,97990,124
8301,83010,104
5694,56940,67
8010,80100,100
1352,13520,14
1720,17200,19
2400,24000,27
3425,34250,41
1502,15020,17
4166,41660,52
1183,11830,12
6349,63490,80
8072,80720,100
1122,11220,12
1116,11160,12
9132,91320,118
7054,70540,89
9398,93980,118
2600,26000,30
5021,50210,61
7706,77060,99
6457,64570,79
9631,96310,120
5742,57420,73
8236,82360,143
6294,62940,75
1289,12890,14
7403,74030,91
6089,60890,72
390,3900,3
1992,19920,22
7361,73610,91
212,2120,2
1991,19910,22
1010,10100,10
9340,93400,118
7764,77640,95
3939,39390,47
3064,30640,36
5860,58600,71
812,8120,8
823,8230,8
9972,99720,126
8546,85460,104
653,6530,6
2041,20410,23
6872,68720,84
6064,60640,73
822,8220,8
3469,34690,40
6367,63670,76
7814,78140,94
4645,46450,55
2694,26940,30
798,7980,8
5565,55650,66
1136,11360,12
3637,36370,43
8068,80680,99
4723,47230,56
3872,38720,47
9935,99350,123
4131,41310,49
8755,87550,107
7305,73050,88
966,9660,10
8828,88280,113
6172,61720,74
37,370,0
2076,20760,24
3795,37950,45
8446,84460,107
5586,55860,69
9887,98870,125
2588,25880,29
1905,19050,21
6907,69070,83
7087,70870,87
7989,79890,98
958,9580,10
836,8360,9
3822,38220,45
9581,95810,117
2474,24740,28
7497,74970,93
549,5490,5
7230,72300,91
9138,91380,112
7703,77030,94
9743,97430,124
3276,32760,38
7489,74890,94
6095,60950,73
4653,46530,55
2354,23540,26
7887,78870,96
9550,95500,117
4752,47520,56
4693,46930,55
8560,85600,108
7397,73970,89
518,5180,5
8527,85270,107
108,1080,1
5017,50170,59
3996,39960,47
9160,91600,115
3863,38630,46
1008,10080,11
3674,36740,43
9309,93090,115
9931,99310,124
1458,14580,16
6797,67970,81
8168,81680,100
3129,31290,37
3245,32450,37
9670,96700,122
3665,36650,42
9860,98600,122
3804,38040,44
956,9560,10
483,4830,4
2417,24170,27
7225,72250,89
2032,20320,23
1397,13970,15
3385,33850,40
4931,49310,60
5023,50230,60
2907,29070,33
2623,26230,30
301,3010,2
650,6500,6
7520,75200,93
4606,46060,55
4129,41290,50
2503,25030,28
5129,51290,63
5242,52420,63
3927,39270,47
6154,61540,74
9111,91110,114
3342,33420,38
4090,40900,48
4719,47190,57
1719,17190,19
9006,90060,113
7871,78710,96
6915,69150,84
3944,39440,47
7616,76160,93
2570,25700,29
1603,16030,17
2500,25000,29
1017,10170,10
2861,28610,34
9436,94360,123
6173,61730,75
1374,13740,15
9747,97470,122
8394,83940,104
2966,29660,34
6094,60940,73
7732,77320,94
2122,21220,23
9414,94140,119
1412,14120,15
607,6070,5
3065,30650,35
4315,43150,52
9134,91340,114
6283,62830,77
1824,18240,21
129,1290,1
5701,57010,71
9981,99810,126
6757,67570,83
5309,53090,64
3322,33220,39
6779,67790,83
303,3030,3
9737,97370,125
3037,30370,35
2207,22070,25
6155,61550,76
8926,89260,114
4875,48750,59
3104,31040,36
3772,37720,44
5881,58810,71
7793,77930,101
3321,33210,39
9830,98300,125
585,5850,6
1557,15570,17
111,1110,1
7588,75880,93
6774,67740,83
3520,35200,41
4468,44680,54
6575,65750,89
7254,72540,92
88,880,0
9573,95730,121
5263,52630,67
1693,16930,23
6180,61800,83
1420,14200,15
1522,15220,16
6891,68910,84
8061,80610,99
6611,66110,80
843,8430,9
7997,79970,100
2081,20810,23
8669,86690,111
4576,45760,59
